Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lithuania,LTU,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,0.008107155446,,0.037093364,0.04790239886,0.04834510971,0.05410669841,,,0.05533651518,,,0.07109245404,,,,
Luxembourg,LUX,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,0.03371397499,,,0.03933518006,,,0.02184336708,,,0.03107198343,,,,
"Macao SAR, China",MAC,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,4.297460138,4.304911801,3.879983971,4.08611482,4.392782095,4.567937445,4.548107095,4.605730838,,,,,5.416356275,5.709169305,5.586093068,5.95875166,
Monaco,MCO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,9.844492441,9.83175151,9.832175676,9.834721443,9.844490718,9.816059427,9.517354058
Madagascar,MDG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,2.179075974,2.179075974,2.179075974,2.179075974,2.176411611,2.176411611,2.176411611,,,,,,,,,,,,,
Maldives,MDV,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
